HDI rank,Country,HUMAN DEVELOPMENT,GII VALUE,GII RANK,Maternal_mortality,Adolescent_birth_rate,Seats_parliamentt(% held by women),F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,
21,United States,VERY HIGH,0.179,44,19,16.0,27.0,96.5,96.4,55.2,66.4,
22,Israel,VERY HIGH,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1,
23,Malta,VERY HIGH,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4,
23,Slovenia,VERY HIGH,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2,
25,Austria,VERY HIGH,0.053,12,5,5.5,39.3,100.0,100.0,55.5,66.3,
26,United Arab Emirates,VERY HIGH,0.049,11,3,3.1,50.0,82.0,85.6,46.5,88.0,
27,Spain,VERY HIGH,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4,
28,France,VERY HIGH,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7,
29,Cyprus,VERY HIGH,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8,
30,Italy,VERY HIGH,0.056,13,2,4.0,35.3,78.6,86.1,39.9,57.6,
31,Estonia,VERY HIGH,0.100,28,9,8.8,25.7,97.6,98.1,57.5,70.2,
32,Czechia,VERY HIGH,0.120,34,3,9.7,22.1,99.8,99.8,51.7,68.1,
33,Greece,VERY HIGH,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1,
34,Poland,VERY HIGH,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5,
35,Bahrain,VERY HIGH,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5,
35,Lithuania,VERY HIGH,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9,
35,Saudi Arabia,VERY HIGH,0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1,
38,Portugal,VERY HIGH,0.067,15,8,7.4,40.0,59.7,61.9,54.0,62.2,
39,Latvia,VERY HIGH,0.151,40,19,11.2,29.0,99.7,99.3,54.5,66.8,
40,Andorra,VERY HIGH,..,..,..,5.9,46.4,70.7,72.4,..,..,
40,Croatia,VERY HIGH,0.093,26,8,8.6,31.1,97.0,100.0,45.9,58.8,
42,Chile,VERY HIGH,0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5,
42,Qatar,VERY HIGH,0.220,54,9,7.1,4.4,79.8,69.6,57.2,95.5,
44,San Marino,VERY HIGH,..,..,..,3.8,33.3,81.8,84.3,..,..,
45,Slovakia,VERY HIGH,0.180,45,5,26.3,22.7,98.9,99.2,54.7,66.4,
46,Hungary,VERY HIGH,0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2,
47,Argentina,VERY HIGH,0.287,69,39,39.1,44.4,71.0,71.4,50.0,71.6,
48,Türkiye,VERY HIGH,0.272,65,17,16.9,17.3,56.3,75.9,31.8,69.4,
49,Montenegro,VERY HIGH,0.119,32,6,10.4,24.7,92.3,99.2,47.8,62.0,
50,Kuwait,VERY HIGH,0.305,74,12,5.6,1.5,60.9,55.2,47.4,83.8,
51,Brunei Darussalam,VERY HIGH,0.259,61,31,10.0,9.1,70.4,71.2,54.1,72.3,
52,Russian Federation,VERY HIGH,0.203,50,17,15.0,16.5,92.8,95.9,54.5,69.7,
